UniqueID,Country_of_Residence
English1_2393,usa
English1_2401,usa
English1_2407,usa
English1_2412,usa
English1_2413,usa
English1_2418,wayne
English1_2442,usa
English1_2446,usa
English1_2453,usa
English1_2457,st clair
English1_2464,usa
English1_2465,usa
English1_2475,usa
English1_2490,usa
English1_2501,usa
English1_2506,usa
English1_2508,uk
English1_2513,usa
English1_2519,usa
English1_2520,usa
English1_2525,usa
English1_2528,usa
English1_2534,usa
English1_2535,usa
English1_2538,usa
English1_2539,usa
English1_2544,usa
English1_2558,usa
English1_2561,usa
English1_2562,usa
English1_2563,usa
English1_2576,usa
English1_2583,usa
English1_2584,usa
English1_2586,usa
English1_2592,usa
English1_2599,canada
English1_2600,usa
English1_2601,usa
English1_2607,usa
English1_2630,usa
English1_2631,usa
English1_2634,usa
English1_2636,usa
English1_2637,uk
English1_2643,usa
English1_2663,usa
English1_2664,usa
English1_2668,usa
English1_2672,usa
English1_2677,usa
English1_2679,usa
English1_2684,usa
English1_2691,usa
English1_2693,usa
English1_2698,usa
English1_2705,usa
English1_2712,united stares
English1_2716,usa
English1_2721,usa
English1_2723,usa
English1_2729,usa
English1_2733,usa
English1_2736,usa
English1_2741,usa
English1_2743,usa
English1_2745,usa
English1_2748,usa
English1_2756,usa
English1_2768,usa
English1_2770,usa
English1_2773,usa
English1_2774,usa
English1_2779,usa
English1_2780,usa
English1_2785,usa
English1_2786,usa
English1_2790,usa
English1_2796,usa
English1_2802,canada
English1_2806,usa
English1_2808,usa
English1_2816,usa
English1_2831,usa
English1_2856,usa
English1_2860,usa
English1_2861,usa
English1_2867,usa
English1_2872,usa
English1_2881,usa
English1_2885,mexico
English1_2886,usa
English1_2906,usa
English1_2913,usa
English1_2914,usa
English1_2917,uk
English1_2920,usa
English1_2921,usa
English1_2925,usa
English1_2931,usa
English1_2932,usa
English1_2933,usa
English1_2943,uk
English1_2945,usa
English1_2949,usa
English1_2951,usa
English1_2952,uk
English1_2958,usa
English1_2961,usa
English1_2970,germany
English1_2972,usa
English1_2973,usa
English1_2977,usa
English1_2993,canada
English1_2995,usa
English1_2996,uk
English1_2998,uk
English1_3002,uk
English1_3008,usa
English1_3009,usa
English1_3022,uk
English1_3024,uk
English1_3025,japan
English1_3026,usa
English1_3028,usa
English1_3031,usa
English1_3035,usa
English1_3036,portugal
English1_3037,australia
English1_3046,hggyy
English1_3052,usa
English1_3054,netherlands
English1_3059,usa
English1_3060,uk
English1_3072,uk
English1_3085,uk
English1_3088,usa
English1_3094,netherlands
English1_3100,iran
English1_3108,new zealand
English1_3122,uk
English1_3130,uk
English1_3131,usa
English1_3141,usa
English1_3142,belgium
English1_3149,uk
English1_3155,usa
English1_3165,usa
English1_3171,usa
English1_3182,usa
English1_3185,usa
English1_3216,usa
English1_3217,usa
English1_3226,washtenaw
English1_3227,usa
English1_3230,uk
English1_3231,usa
English1_3232,ireland
English1_3237,usa
English1_3247,usa
English1_3258,usa
English1_3262,usa
English1_3263,usa
English1_3266,usa
English1_3268,usa
English1_3272,usa
English1_3273,usa
English1_3280,turkey
English1_3284,usa
English1_3287,usa
English1_3288,usa
English1_3289,usa
English1_3290,kalamazoo
English1_3291,usa
English1_3294,usa
English1_3295,usa
English1_3298,usa
English1_3300,usa
English1_3302,usa
English1_3315,usa
English1_3330,ireland
English1_3342,usa
English1_3345,uk
English1_3354,usa
English1_3359,usa
English1_3370,usa
English1_3372,usa
English1_3373,usa
English1_3381,usa
English1_3383,usa
English1_3395,usa
English1_3401,usa
English1_3431,usa
English1_3433,uk
English1_3434,usa
English1_3436,usa
English1_3439,usa
English1_3441,usa
English1_3444,usa
English1_3445,usa
English1_3446,uk
English1_3453,romania
English1_3458,usa
English1_3459,usa
English1_3461,uk
English1_3464,usa
English1_3468,usa
English1_3473,ireland
English1_3474,usa
English1_3477,usa
English1_3482,usa
English1_3484,usa
English1_3487,usa
English1_3489,uk
English1_3490,usa
English1_3494,uk
English1_3498,uk
English1_3502,usa
English1_3504,usa
English1_3508,uk
English1_3526,usa
English1_3528,usa
English1_3529,usa
English1_3530,usa
English1_3531,usa
English1_3538,usa
English1_3540,uk
English1_3544,usa
English1_3547,usa
English1_3567,usa
English1_3569,usa
English1_3571,usa
English1_3574,usa
English1_3576,usa
English1_3579,uk
English1_3587,uk
English1_3588,uk
English1_3594,uk
English1_3600,usa
English1_3602,uk
English1_3608,usa
English1_3609,usa
English1_3614,usa
English1_3616,usa
English1_3620,usa
English1_3621,usa
English1_3622,usa
English1_3623,usa
English1_3624,usa
English1_3625,usa
English1_3626,uk
English1_3627,uk
English1_3634,usa
English1_3637,usa
English1_3652,uk
English1_3654,uk
English1_3657,usa
English1_3658,usa
English1_3660,uk
English1_3665,usa
English1_3668,uk
English1_3670,ireland
English1_3672,usa
English1_3674,usa
English1_3675,uk
English1_3677,usa
English1_3678,usa
English1_3687,usa
English1_3696,usa
English1_3699,usa
English1_3711,spain
English1_3715,uk
English1_3716,usa
English1_3720,usa
English1_3721,usa
English1_3722,usa
English1_3729,usa
English1_3742,usa
English1_3749,usa
English1_3750,israel
English1_3752,uk
English1_3753,usa
English1_3754,usa
English1_3757,usa
English1_3758,usa
English1_3760,usa
English1_3762,usa
English1_3765,california
English1_3769,usa
English1_3774,uk
English1_3775,usa
English1_3783,usa
English1_3784,uk
English1_3786,usa
English1_3793,usa
English1_3797,usa
English1_3799,usa
English1_3802,usa
English1_3805,usa
English1_3806,australia
English1_3809,uk
English1_3815,usa
English1_3824,usa
English1_3828,usa
English1_3837,usa
English1_3838,usa
English1_3845,usa
English1_3849,usa
English1_3850,usa
English1_3866,usa
English1_3867,usa
English1_3873,uk
English1_3874,usa
English1_3881,usa
English1_3883,uk
English1_3888,usa
English1_3891,usa
English1_3896,usa
English1_3900,usa
English1_3901,ireland
English1_3907,usa
English1_3911,usa
English1_3912,uk
English1_3922,usa
English1_3926,usa
English1_3928,usa
English1_3929,uk
English1_3930,usa
English1_3931,usa
English1_3958,usa
English1_3976,usa
English1_3982,usa
English1_3986,usa
English1_4007,uk
English1_4010,usa
English1_4012,usa
English1_4022,usa
English1_4023,usa
English1_4030,usa
English1_4031,usa
English1_4035,usa
English1_4039,usa
English1_4043,usa
English1_4044,usa
English1_4046,usa
English1_4049,usa
English1_4051,usa
English1_4052,usa
English1_4053,usa
English1_4061,orange
English1_4062,usa
English1_4065,uk
English1_4075,usa
English1_4079,usa
English1_4082,usa
English1_4083,usa
English1_4084,usa
English1_4088,usa
English1_4089,usa
English1_4100,macomb
English1_4101,usa
English1_4114,usa
English1_4119,usa
English1_4122,usa
English1_4123,usa
English1_4125,usa
English1_4146,usa
English1_4153,uk
English1_4157,usa
English1_4180,usa
English1_4181,italy
English1_4182,italy
English1_4183,uk
English1_4184,usa
English1_4185,netherlands
English1_4187,uk
English1_4188,denmark
English1_4195,uk
English1_4196,usa
English1_4201,usa
English1_4202,uk
English1_4203,brazil
English1_4205,uk
English1_4213,usa
English1_4216,ireland
English1_4225,usa
English1_4229,usa
English1_4230,uk
English1_4252,uk
English1_4253,netherlands
English1_4254,uk
English1_4257,uk
English1_4259,netherlands
English1_4265,uk
English1_4267,netherlands
English1_4270,usa
English1_4274,netherlands
English1_4281,netherlands
English1_4284,uk
English1_4287,uk
English1_4288,sweden
English1_4290,netherlands
English1_4294,iran
English1_4295,uk
English1_4296,netherlands
English1_4303,usa
English1_4306,netherlands
English1_4311,netherlands
English1_4315,netherlands
English1_4318,usa
English1_4323,usa
English1_4324,uk
English1_4326,uk
English1_4329,netherlands
English1_4338,usa
English1_4341,usa
English1_4343,uk
English1_4348,uk
English1_4352,usa
English1_4363,uk
English1_4373,usa
English1_4374,usa
English1_4375,usa
English1_4376,canada
English1_4377,netherlands
English1_4383,usa
English1_4384,netherlands
English1_4385,uk
English1_4386,usa
English1_4392,canada
English1_4396,canada
English1_4397,uk
English1_4399,usa
English1_4403,uk
English1_4408,uk
English1_4411,usa
English1_4413,usa
English1_4419,uk
English1_4421,usa
English1_4424,netherlands
English1_4427,uk
English1_4430,uk
English1_4432,usa
English1_4436,uk
English1_4437,usa
English1_4442,uk
English1_4443,uk
English1_4444,usa
English1_4447,uk
English1_4449,uk
English1_4452,usa
English1_4457,usa
English1_4459,uk
English1_4462,usa
English1_4467,usa
English1_4473,usa
English1_4485,usa
English1_4490,usa
English1_4492,usa
English1_4499,netherlands
English1_4500,uk
English1_4501,sweden
English1_4503,usa
English1_4505,usa
English1_4507,uk
English1_4508,netherlands
English1_4511,usa
English1_4512,germany
English1_4521,uk
English1_4528,netherlands
English1_4542,usa
English1_4558,usa
English1_4568,usa
English1_4572,usa
English1_4578,usa
English1_4591,uk
English1_4596,usa
English1_4604,uk
English1_4615,usa
English1_4620,usa
English1_4625,uk
English1_4626,canada
English1_4634,ireland
English1_4637,usa
English1_4638,uk
English1_4642,uk
English1_4644,uk
English1_4647,uk
English1_4650,usa
English1_4654,uk
English1_4667,usa
English1_4670,usa
English1_4675,usa
English1_4680,uk
English1_4690,usa
English1_4691,usa
English1_4699,usa
English1_4703,usa
English1_4712,brazil
English1_4718,usa
English1_4720,usa
English1_4723,usa
English1_4724,usa
English1_4725,uk
English1_4728,new zealand
English1_4730,spain
English1_4732,usa
English1_4733,usa
English1_4739,new zealand
English1_4746,usa
English1_4750,canada
English1_4758,usa
English1_4768,new zealand
English1_4769,new zealand
English1_4771,new zealand
English1_4772,uk
English1_4777,new zealand
English1_4779,usa
English1_4780,usa
English1_4781,uk
English1_4784,new zealand
English1_4787,usa
English1_4789,usa
English1_4793,usa
English1_4797,usa
English1_4798,usa
English1_4799,usa
English1_4800,uk
English1_4805,usa
English1_4806,usa
English1_4808,usa
English1_4812,new zealand
English1_4816,usa
English1_4817,usa
English1_4821,usa
English1_4824,usa
English1_4825,usa
English1_4827,usa
English1_4828,usa
English1_4831,usa
English1_4833,usa
English1_4835,uk
English1_4845,usa
English1_4848,usa
English1_4849,uk
English1_4853,usa
English1_4854,usa
English1_4859,new zealand
English1_4861,new zealand
English1_4865,usa
English1_4866,netherlands
English1_4867,usa
English1_4884,netherlands
English1_4887,uk
English1_4892,usa
English1_4896,uk
English1_4897,uk
English1_4900,usa
English1_4904,uk
English1_4919,uk
English1_4923,usa
English1_4933,uk
English1_4935,sweden
English1_4939,usa
English1_4943,usa
English1_4944,uk
English1_4946,usa
English1_4953,usa
English1_4956,usa
English1_4961,usa
English1_4963,ireland
English1_4965,usa
English1_4967,usa
English1_4968,usa
English1_4973,uk
English1_4978,usa
English1_4979,canada
English1_4982,uk
English1_4983,usa
English1_4984,ireland
English1_4987,usa
English1_4991,usa
English1_4992,usa
English1_5003,usa
English1_5009,usa
English1_5018,usa
English1_5020,usa
English1_5023,uk
English1_5025,usa
English1_5039,uk
English1_5041,usa
English1_5043,usa
English1_5045,usa
English1_5047,california
English1_5049,usa
English1_5050,uk
English1_5052,uk
English1_5057,usa
English1_5058,sweden
English1_5068,brazil
English1_5069,usa
English1_5083,usa
English1_5098,usa
English1_5099,uk
English1_5121,uk
English1_5129,usa
English1_5133,usa
English1_5134,canada
English1_5144,usa
English1_5150,usa
English1_5152,new zealand
English1_5156,brazil
English1_5160,usa
English1_5161,new zealand
English1_5164,usa
English1_5168,canada
English1_5171,usa
English1_5175,usa
English1_5178,usa
English1_5183,usa
English1_5185,usa
English1_5186,usa
English1_5187,usa
English1_5188,usa
English1_5190,wayne
English1_5195,philippines
English1_5202,canada
English1_5205,uk
English1_5207,new zealand
English1_5210,usa
English1_5212,ireland
English1_5213,usa
English1_5214,usa
English1_5216,uk
English1_5220,uk
English1_5224,usa
English1_5225,spain
English1_5227,uk
English1_5228,usa
English1_5234,usa
English1_5239,uk
English1_5241,uk
English1_5247,uk
English1_5249,usa
English1_5254,egypt
English1_5255,usa
English1_5264,uk
English1_5266,usa
English1_5269,usa
English1_5280,usa
English1_5281,uk
English1_5287,uk
English1_5294,uk
English1_5301,uk
English1_5304,uk
English1_5306,uk
English1_5308,usa
English1_5310,uk
English1_5311,uk
English1_5313,uk
English1_5314,usa
English1_5316,france
English1_5320,usa
English1_5321,usa
English1_5322,uk
English1_5323,australia
English1_5326,uk
English1_5329,netherlands
English1_5330,sweden
English1_5333,usa
English1_5336,usa
English1_5339,uk
English1_5340,uk
English1_5345,uk
English1_5348,netherlands
English1_5349,sweden
English1_5353,usa
English1_5357,usa
English1_5361,britain
English1_5364,uk
English1_5365,usa
English1_5367,mono
English1_5368,usa
English1_5369,uk
English1_5373,uk
English1_5379,usa
English1_5381,usa
English1_5383,usa
English1_5387,usa
English1_5389,usa
English1_5394,usa
English1_5395,usa
English1_5398,usa
English1_5400,usa
English1_5406,uk
English1_5412,usa
English1_5414,usa
English1_5416,usa
English1_5417,uk
English1_5430,usa
English1_5434,usa
English1_5439,switzerland
English1_5441,usa
English1_5449,usa
English1_5453,uk
English1_5461,uk
English1_5462,australia
English1_5464,france
English1_5472,usa
English1_5474,usa
English1_5475,usa
English1_5479,usa
English1_5481,usa
English1_5482,uk
English1_5485,usa
English1_5486,uk
English1_5489,usa
English1_5502,usa
English1_5503,usa
English1_5504,usa
English1_5505,uk
English1_5509,usa
English1_5511,usa
English1_5512,usa
English1_5515,romania
English1_5517,usa
English1_5518,usa
English1_5520,usa
English1_5522,usa
English1_5523,usa
English1_5525,usa
English1_5530,usa
English1_5534,usa
English1_5535,usa
English1_5538,uk
English1_5541,usa
English1_5542,usa
English1_5548,usa
English1_5549,uk
English1_5557,usa
English1_5559,usa
English1_5560,usa
English1_5562,usa
English1_5563,australia
English1_5568,usa
English1_5570,usa
English1_5572,usa
English1_5573,usa
English1_5575,usa
English1_5581,usa
English1_5585,uk
English1_5587,usa
English1_5595,uk
English1_5601,usa
English1_5602,usa
English1_5603,usa
English1_5609,usa
English1_5610,usa
English1_5613,usa
English1_5616,usa
English1_5621,germany
English1_5624,usa
English1_5627,uk
English1_5628,usa
English1_5629,usa
English1_5630,usa
English1_5632,usa
English1_5633,uk
English1_5635,usa
English1_5636,usa
English1_5637,usa
English1_5642,usa
English1_5644,usa
English1_5645,usa
English1_5654,usa
English1_5655,usa
English1_5658,germany
English1_5659,usa
English1_5667,usa
English1_5668,finland
English1_5669,usa
English1_5670,uk
English1_5674,usa
English1_5675,usa
English1_5676,uk
English1_5678,usa
English1_5681,usa
English1_5689,usa
English1_5692,usa
English1_5693,usa
English1_5697,usa
English1_5698,usa
English1_5699,usa
English1_5702,usa
English1_5710,usa
English1_5711,usa
English1_5712,usa
English1_5717,usa
English1_5721,usa
English1_5724,usa
English1_5725,usa
English1_5726,usa
English1_5727,brazil
English1_5730,usa
English1_5733,italy
English1_5737,usa
English1_5740,uk
English1_5742,usa
English1_5747,usa
English1_5749,usa
English1_5750,usa
English1_5755,usa
English1_5768,germany
English1_5771,usa
English1_5773,usa
English1_5777,usa
English1_5781,usa
English1_5785,france
English1_5787,usa
English1_5789,usa
English1_5792,usa
English1_5793,uk
English1_5794,usa
English1_5795,usa
English1_5796,canada
English1_5798,uk
English1_5800,usa
English1_5814,usa
English1_5819,usa
English1_5820,usa
English1_5821,canada
English1_5823,usa
English1_5829,usa
English1_5834,uk
English1_5836,canada
English1_5840,usa
English1_5841,usa
English1_5846,usa
English1_5848,brazil
English1_5862,usa
English1_5868,canada
English1_5869,usa
English1_5875,uk
English1_5877,usa
English1_5885,usa
English1_5886,indonesia
English1_5907,canada
English1_5915,usa
English1_5916,usa
English1_5925,usa
English1_5927,usa
English1_5930,usa
English1_5935,usa
English1_5938,usa
English1_5941,usa
English1_5944,usa
English1_5945,usa
English1_5956,australia
English1_5960,usa
English1_5964,usa
English1_5976,usa
English1_5979,usa
English1_5985,usa
English1_5986,usa
English1_5996,usa
English1_6003,usa
English1_6005,usa
English1_6009,usa
English1_6023,usa
Arabic_12,oman
Arabic_41,oman
Arabic_59,???
Danish_20,denmark
Danish_23,denmark
Danish_27,denmark
Danish_29,denmark
Danish_39,denmark
Danish_46,denmark
Danish_54,denmark
Danish_56,denmark
Danish_57,denmark
Danish_63,denmark
Danish_72,denmark
Danish_77,denmark
Danish_84,denmark
Danish_85,denmark
Danish_86,denmark
Danish_93,denmark
Danish_107,denmark
Danish_108,denmark
Danish_110,denmark
Danish_120,denmark
Danish_132,denmark
Danish_149,denmark
Danish_151,denmark
Danish_157,denmark
Danish_173,denmark
Danish_179,denmark
Danish_183,denmark
Danish_205,denmark
Danish_211,denmark
Dutch_10,netherlands
Dutch_13,netherlands
Dutch_22,netherlands
Dutch_24,netherlands
Dutch_26,netherlands
Dutch_31,netherlands
Dutch_37,netherlands
Dutch_40,netherlands
Dutch_45,netherlands
Dutch_53,netherlands
Dutch_58,belgium
Dutch_59,netherlands
Dutch_61,netherlands
Dutch_75,netherlands
Dutch_81,netherlands
Dutch_87,netherlands
Dutch_91,netherlands
Dutch_100,netherlands
Dutch_106,netherlands
Dutch_107,netherlands
Dutch_118,netherlands
Dutch_119,netherlands
Dutch_122,netherlands
Dutch_130,netherlands
Dutch_131,netherlands
Dutch_141,netherlands
Dutch_143,netherlands
Dutch_144,nedeland
Dutch_150,netherlands
Dutch_162,netherlands
Dutch_163,netherlands
Dutch_165,nederkand
Dutch_178,netherlands
Dutch_179,netherlands
Dutch_185,netherlands
Dutch_188,netherlands
Dutch_189,netherlands
Dutch_194,netherlands
Dutch_196,netherlands
Dutch_201,netherlands
Dutch_204,netherlands
Dutch_207,netherlands
Dutch_209,netherlands
Dutch_213,netherlands
Dutch_215,netherlands
Dutch_224,netherlands
Dutch_233,netherlands
Dutch_243,netherlands
Dutch_244,netherlands
Dutch_245,netherlands
Dutch_246,netherlands
Dutch_258,netherlands
Dutch_260,netherlands
Dutch_262,netherlands
Dutch_265,netherlands
Dutch_275,netherlands
Dutch_281,netherlands
Dutch_285,netherlands
Dutch_295,netherlands
Dutch_300,netherlands
Dutch_302,netherlands
Dutch_305,netherlands
Dutch_308,netherlands
Dutch_311,netherlands
Dutch_313,netherlands
Dutch_321,denmark
Dutch_325,netherlands
Dutch_328,netherlands
Dutch_334,netherlands
Dutch_338,netherlands
Dutch_343,netherlands
Dutch_346,netherlands
Dutch_347,netherlands
Dutch_350,netherlands
Dutch_368,netherlands
Dutch_389,netherlands
Dutch_392,netherlands
Dutch_395,netherlands
Dutch_401,netherlands
Dutch_405,netherlands
Dutch_411,netherlands
Dutch_414,netherlands
Dutch_415,netherlands
Dutch_423,netherlands
Dutch_426,netherlands
Dutch_432,netherlands
Dutch_434,netherlands
Dutch_438,netherlands
Dutch_443,netherlands
Dutch_453,netherlands
Dutch_454,netherlands
Dutch_455,netherlands
Dutch_457,netherlands
Dutch_459,netherlands
Dutch_464,netherlands
Dutch_468,netherlands
Dutch_476,netherlands
Dutch_481,netherlands
Dutch_483,netherlands
Dutch_491,netherlands
Dutch_502,netherlands
Dutch_508,netherlands
Dutch_511,netherlands
Dutch_513,netherlands
Dutch_518,netherlands
Dutch_519,netherlands
Dutch_523,netherlands
Dutch_525,netherlands
Dutch_526,netherlands
Dutch_532,netherlands
Dutch_537,netherlands
Dutch_544,netherlands
Dutch_546,netherlands
Dutch_549,maastricht
Dutch_557,netherlands
Dutch_559,netherlands
Dutch_560,netherlands
Dutch_563,netherlands
Dutch_566,netherlands
Dutch_575,netherlands
Dutch_577,netherlands
Dutch_593,netherlands
Dutch_596,netherlands
